Epoch: 9/60 Setp: 350, ranking_loss: 5.21, id_loss: 6.09
Epoch: 9/60 Setp: 400, ranking_loss: 4.93, id_loss: 6.79
Epoch: 9/60 Setp: 450, ranking_loss: 4.32, id_loss: 5.73
Epoch: 9/60 Setp: 500, ranking_loss: 5.16, id_loss: 6.57
Epoch: 9/60 Setp: 550, ranking_loss: 3.76, id_loss: 6.49
Epoch: 9/60 Setp: 600, ranking_loss: 6.67, id_loss: 6.50
Epoch: 9/60 Setp: 650, ranking_loss: 6.25, id_loss: 6.44
Epoch: 9/60 Setp: 700, ranking_loss: 3.87, id_loss: 6.27
Epoch: 9/60 Setp: 750, ranking_loss: 5.60, id_loss: 6.23
Epoch: 9/60 Setp: 800, ranking_loss: 4.52, id_loss: 7.00
Epoch: 9/60 Setp: 850, ranking_loss: 5.54, id_loss: 6.15
Epoch: 9/60 Setp: 900, ranking_loss: 4.58, id_loss: 7.50
Epoch: 9/60 Setp: 950, ranking_loss: 6.05, id_loss: 6.28
Epoch: 9/60 Setp: 1000, ranking_loss: 5.46, id_loss: 6.70
Epoch: 9/60 Setp: 1050, ranking_loss: 5.54, id_loss: 7.66
Epoch: 9/60 , ranking_loss: 5.08, id_loss: 5.92
lr:0.001
lr:0.0001
Epoch: 10/60 Setp: 50, ranking_loss: 3.83, id_loss: 4.49
Epoch: 10/60 Setp: 100, ranking_loss: 4.41, id_loss: 3.78
Epoch: 10/60 Setp: 150, ranking_loss: 4.64, id_loss: 5.39
Epoch: 10/60 Setp: 200, ranking_loss: 4.17, id_loss: 4.33
Epoch: 10/60 Setp: 250, ranking_loss: 4.23, id_loss: 5.36
Epoch: 10/60 Setp: 300, ranking_loss: 3.65, id_loss: 4.85
Epoch: 10/60 Setp: 350, ranking_loss: 4.57, id_loss: 4.43
Epoch: 10/60 Setp: 400, ranking_loss: 4.91, id_loss: 6.20
Epoch: 10/60 Setp: 450, ranking_loss: 3.62, id_loss: 4.52
Epoch: 10/60 Setp: 500, ranking_loss: 5.25, id_loss: 5.32
Epoch: 10/60 Setp: 550, ranking_loss: 5.25, id_loss: 5.79
Epoch: 10/60 Setp: 600, ranking_loss: 4.50, id_loss: 4.75
Epoch: 10/60 Setp: 650, ranking_loss: 5.78, id_loss: 5.95
Epoch: 10/60 Setp: 700, ranking_loss: 3.92, id_loss: 6.25
Epoch: 10/60 Setp: 750, ranking_loss: 3.88, id_loss: 5.29
Epoch: 10/60 Setp: 800, ranking_loss: 4.75, id_loss: 5.43
Epoch: 10/60 Setp: 850, ranking_loss: 5.64, id_loss: 6.01
Epoch: 10/60 Setp: 900, ranking_loss: 6.77, id_loss: 5.27
Epoch: 10/60 Setp: 950, ranking_loss: 6.11, id_loss: 7.43
Epoch: 10/60 Setp: 1000, ranking_loss: 4.84, id_loss: 5.51
Epoch: 10/60 Setp: 1050, ranking_loss: 3.86, id_loss: 6.74
Epoch: 10/60 , ranking_loss: 4.76, id_loss: 5.24
lr:0.001
lr:0.0001
Epoch: 11/60 Setp: 50, ranking_loss: 4.16, id_loss: 4.13
Epoch: 11/60 Setp: 100, ranking_loss: 4.31, id_loss: 3.29
Epoch: 11/60 Setp: 150, ranking_loss: 4.39, id_loss: 3.57
Epoch: 11/60 Setp: 200, ranking_loss: 4.74, id_loss: 3.77
Epoch: 11/60 Setp: 250, ranking_loss: 5.00, id_loss: 3.15
Epoch: 11/60 Setp: 300, ranking_loss: 3.90, id_loss: 4.17
